"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","찾아오시는 길","업소정보","자랑거리","추천수","기준년월","업소 사진"
"00007951","영화미용실","005","이미용","서울특별시 금천구 독산로44길 15 (시흥동)","02-805-2864","　","　      ","　","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120703160523.jpg"
"00007847","홍보성","002","중식","서울특별시 송파구 문정로4길 24-20 (문정동)","02-400-4532","전철노선:8호선 문정역 도보 3분 버스노선:5.301.461.3219.3422.3418.100.3011  문정1동 푸르지오 아파트 건너편 대우공업사 뒤쪽' ","월요일 ~ 목요일 -> 오전 18:300 ~ 14:30 / 오후 16:00 ~ 18:30  화요일 11:30~18:30 금수,목요일 (오전만 운영) -> 11:00 ~ 14:30 휴무일:매주 토, 일 성탄절 매해첫날 휴무          ","박리다매 형식으로 영업. 저렴한 가격으로 고객님들께 제공할수 있습니다' 신선한 식재료로 대표님이 직접 요리하고  맛이좋아 한번드셔보시면 다시 찾게됩니다' ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120703114148.JPG"
"00007442","훼밀리김밥","001","한식","서울특별시 송파구 성내천로21길 12 (마천동, 신동아아파트)","02-406-5415","거여역 2번 출구에서810m 버스노선:  3314, 3315, 3317, 3313, 3318 윤진 빌딩 건너편 (구)국민은행 맞은편 정류장 앞 ","영업시간 : 08:30~20:30 휴무일 :  연중무휴  기타 : 독거노인 식사제공  *배달, 주차, 제로페이         ","나눔과 기쁨 후원. 즉석김밥, 신선한 재료와 모든 야채는  체인점이 아닌 가계에서 직접 재료 준비함  ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111104153351.jpg"
"00006304","왕세숫대야냉면","001","한식","서울특별시 서대문구 수색로2길 7 (남가좌동)","02-376-0877","가좌역 4번 출구에서177m","매일09:30~22:00                ","- 친절하고 청결함 - 저렴한 가격 비결 : 마진율을 낮춰서 박리다매 ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20211210144618.jpg"
"00008279","가마솥설렁탕","001","한식","서울특별시 구로구 고척로40길 33-4 (고척동)","02-2615-5292","- 전철 1호선 개봉역 1번 출구(북광장)로 나와 마을버스 1번, 8번을 타고 고척그린시장 하차후 고척2동 새마을 금고분소앞을 보시면 저희 가게가 있습니다. - 개봉사거리에서 도보10분 고척그린시장 고척2동 새마을금고 분소앞에 있습니다.","영업시간 : 09:30~22:30 휴무일 : 없음      ","매일 밑반찬이 바뀝니다. 재료들이 신선하고 깔끔하여 맛이 좋습니다. ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120706154111.JPG"
"00008101","21세기남성헤어","005","이미용","서울특별시 강서구 강서로17나길 2 (화곡동)","02-2601-7745","까치산역 4번 출구에서288m","영업시간 : 08:00~19:00 휴무일 : 매주 일요일         ","3년동안 커트 가격동결 종업원 없이 부부가 직접 운영하여 저가 서비스 제공","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120621100051.JPG"
"00007908","새미나미용실","005","이미용","서울특별시 구로구 부일로9길 87 (온수동)","02-2682-2190","우신중학교 후문쪽 온수동 새마을금고옆","영업시간 :09;00~21:00 휴무일 :매주 화요일     ","　","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111222075843.JPG"
"00007937","털보고된이","001","한식","서울특별시 은평구 통일로83길 9-1 (갈현동)","02-383-9289","null","        ","null","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120119101858.JPG"
"00008217","초밥아저씨","003","경양식/일식","서울특별시 관악구 신원로 23 (신림동), 관악종합시장 108 호","02-3281-2820","신림역 3번 출구에서333m 동부아파트 옆 관악종합시장내에 위치","영업시간 : 13:30 ~ 23:00             ","▷전통시장(신원시장)내에 위치하여 다른 업소보다 저렴 ▷노량진 수산시장등 새벽 시장에서 저렴하고 신선한 재료 구입  ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220718175444.jpg"
"00007794","아산남성컷트","005","이미용","서울특별시 강서구 강서로 207 (화곡동)","-","화곡역 8번 출구에서356m","영업시간 : 09:30~20:30 휴무일 : 매주 일요일           ","짧은 시간안에 스타일을 완성할수 있으며 저렴한 가격으로 모십니다. ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111116091019.jpg"
"00006712","연백이발관","005","이미용","서울특별시 마포구 만리재옛길 5 (공덕동)","02-711-9782","공덕역 5번 출구에서266m 공덕시장 근처에 CA할인마트 옆에 있습니다.","　                  ","가격은 아주 저렴하며, 또한 군인, 중.고생은 할인 해 주실 뿐만 아니라 주인의 친절은 덤으로.... ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20110630203558.jpg"
"00007931","황궁","002","중식","서울특별시 구로구 경인로47길 10 (고척동)","02-2681-4554","동양미래대학 먹자골목안 GS2층","영업시간 : 09:00~21:00 좌석수 : 50석 휴무일 : 명절 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 불가 홈페이지 주소 : X 전자우편주소 : X ","신선한 재료 매일매일 배달 신속배달 3명 친절서비스 학생할인 제공함","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120110174005.jpg"
"00006199","럭키미용실","005","이미용","서울특별시 강북구 오패산로 273 (미아동)","02-986-2530","미아역 4번 출구에서 342m 신일중고등학교 옆","영업시간 : 10시 ? 20시 휴무일 : 매주 일요일             ","○ 손님들에게 정성을 다해 가족처럼 모시는 곳. 특히 노인분들에게친절한 서비스를 다하는 곳. ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20230314175319.JPG"
"00008577","백광컴퓨터크리닝","007","세탁","서울특별시 성동구 마조로 59 (마장동)","02-2292-8310","마장역 4번 출구에서324m","영업시간 : 7:30~22:00 배달 : O           ","주변업소에 비해 가격이 저렴하고 주인이 직접 접과정을 운영함으로써 운영비 및 인건비 절감 ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130805105747.JPG"
"00007601","대풍족","001","한식","서울특별시 성북구 보문로 129 (보문동2가)","02-953-3060","보문역 2번 출구에서128m 보문동사거리 신한은행옆 신호등앞 103,142,152,272,273,162,1212보험연수원맞은편대풍보쌈,해물칼국수","매일 17:00 - 07:30 07:00 라스트오더 - 설날2일 추석1일 쉬고 있습니다        ","우리업소는 매일 담근는 겉절이와 신선한 야채로 주변 직장인들과 가족단위 손님에게 맛과 정성 친절한 맘으로 모시도록 한결같이 노력하며, 앞으로도 더욱더 청결,친절,저렴한 가격으로 손님을 모시겠습니다","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120405155748.JPG"
"00007878","조희미용실","005","이미용","서울특별시 광진구 뚝섬로52나길 25 (자양동)","02-447-0658","null","       ","null","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111108101714.JPG"
"00007875","기성미용실","005","이미용","서울특별시 중구 다산로28길 28 (신당동)","02-2231-0053","청구역 3번출구에서 삼성아파트방향으로 50미터","(2022년 5월 기준) ○ 영업시간 :  10:00~20:00 (휴무일: 매주 목요일) ○ 주차 : 불가 ○ 기타:  예약 가능, 카드 가능 ","오래도록 주민들의 사랑을 받아온 저렴하고 친절한 미용실 형편 어려운 어르신의 머리칼을 할인가로 잘라드리는 진짜 '착한'가게","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220511195136.jpg"
"00007933","SK명품세탁","007","세탁","서울특별시 구로구 구일로10길 27 (구로동)","02-6097-7170","구일역 건너편 SK허브수 주상복합APT A동 입구","영업시간 :08:00~22:00 휴무일 :매주 일요일  주차 :지하주차장 3시간까지 가능      ","텍스타일 케어(특수세탁 가공.황변복원 가공,발수수지가공,명품핸드백가공)전문점 각종 사고처리가 가능하며 세탁전문지식을 위한 청강도 다니시고,직접강의도 합니다. MBC.KBS.SBS 출연업소이며, 외부인들도 많이 찾아오십니다.","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120119094840.jpg"
"00008094","향토이발관","005","이미용","서울특별시 도봉구 도봉로164길 44 (도봉동)","02-954-8053","null","영업시간 : 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 : 기타 : ","이발요금의 저렴으로 원거리에서 찾아오는 손님들이 많아 봉사차원의 요금 계속 적용. 45년간 사회봉사 경력 및 무료이발봉사를 수시로 해오고 있음 65세 이상 경로우대 이발(컷) 3,000  ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120620145325.jpg"
"00007348","와우돈까스","001","한식","서울특별시 서울 중랑구 공릉로12가길 6","02-2209-3607","태릉입구역 7번 출구에서549m 묵1동 도깨비시장 내 ","영업시간 :08:00-21:00 휴무일 :연중무휴           ","메뉴가 다양하고 착한가격 유지 ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20100802170856.JPG"
"00006325","연안식당","001","한식","서울특별시 서대문구 증가로 258 (북가좌동)","02-302-3773","증산역 1번 출구에서165m","매일 12:00 - 22:00 휴무 : 일             ","- 다양한 봉사활동 - 저렴한 가격 비결 : 식육점을 병행하며 오래된 장사 노하우로 좋은 재료를 저렴하게 구입","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20211210144203.jpg"
"00006529","약속커피숍","004","기타외식업","서울특별시 종로구 종로 302 (창신동)","02-764-1100","종로5가 버스정류장 앞","영업시간 : 오전 8시 ~ 오후 10시 휴무일 : 없음            ","평균가보다 10%이상 저렴함","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20230316142157.JPG"
"00006208","동경헤어월드","005","이미용","서울특별시 마포구 월드컵북로16길 44 (성산동)","325-6559        ","성산우체국 옆에 위치함","경로우대, 청소년 할인         ","지역주민을 상대로 해서 가격은 저렴하고.... 친절하게 ","5","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=물가관련단체 교육 008.jpg"
"00008652","선유일식","003","경양식/일식","서울특별시 영등포구 영신로 17길3 (영등포본동)","02-847-5888","영등포역 뒷편 80m","영업시간 : 10:30-22:30 좌석수 : 88석 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : 전자우편주소 :","모범음식점 지정업소. 청결하고 넓은 실내의 활어전문점 싱싱한 회~","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130612150704.jpg"
"00008616","메밀이랑 면이랑","001","한식","서울특별시 강서구 강서로 263-17 (내발산동)","02-2691-8585","우장산역 4번 출구에서134m","영업시간 : 11:00~20:00 휴무일 : 매주 일요일       ","친절 및 업소 청결","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130716105407.jpg"
"00008824","김소선 헤어아트","005","이미용","서울특별시 관악구 행운1길 14 (봉천동)","02-887-9261","낙성대역 5번 출구에서535m","영업시간 : 10:00 ~ 22:00 휴무일 :       ","경로우대 할인(커트 2,000원~5,000원) ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220718143724.jpg"
"00008565","홍콩반점","002","중식","서울특별시 양천구 곰달래로 9-1 (신월동)","02-2605-1471","　","영업시간 : 11:00~17:00  매주 화요일 휴무              ","겉모습 허름하나 친절하며 가격이 저렴하고 주방이 깨끗하게 정리되어 있음","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20240322152947.png"
"00008193","금천골 오리명가","001","한식","서울특별시 금천구 시흥대로78길 59 (독산동)","02-808-1246","금천구청역 1번 출구에서949m","영업시간 : 10:00-22:00        ","친절하고 웃는 얼굴로 손님을 대하여 많은 단골손님이 있음","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120703161714.jpg"
"00008548","소문장","002","중식","서울특별시 양천구 목동중앙북로4길 20 (목동)","02-2644-3067","등촌역 6번 출구에서 405m","매일 11:00 - 20:30 월 2회 휴무 (수시변경)        ","친절하며 타업소에 비해 저렴함  ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710160005.JPG"
"00008570","북경반점","002","중식","서울특별시 양천구 지양로13길 2 (신월동)","02-2699-7788","　","09:00~21:00           ","청결하고 친절함 60세 이상 어르신들에게 500원 할인","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710142640.jpg"
"00008564","찰스프로헤어","005","이미용","서울특별시 양천구 곰달래로5길 26-1 (신월동)","02-2061-8067","　","9:30-20:00 청결하고 친절함 타업소에 비해 저렴하고 어르신들께 할인하고 있음     ","청결하고 친절함 타업소에 비해 저렴하고 어르신들께 할인하고 있음","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710160305.JPG"
"00008553","콩아리(전주콩나물국밥)","001","한식","서울특별시 강북구 월계로 43-1 (미아동)","0507-1383-5596","미아사거리역 2번 출구에서 477m 버스정류장 창문여고사거리역에서 도보로 1분 롯데백화점 뒤편 창문여고사거리 횡단보도 앞 위치","영업시간 : 06:00-22:00 휴무일 : 없음       ","　","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130805151148.jpg"
"00008541","밥도둑구이전문","001","한식","서울특별시 양천구 목동중앙북로7가길 53 (목동)","02-2646-2131","등촌역 6번 출구에서157m","09:30~21:30     ","달아놓고 드시는 분들은 정가격보다 500원 할인해서 영업","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710142530.JPG"
"00008109","시골칼국수","001","한식","서울특별시 강서구 방화대로7나길 45 (공항동)","02-2666-5477","송정역 3번 출구에서652m","영업시간 : 10:00~21:00 휴무일 : 매주 일요일          ","가격이 저렴하고 음식이 푸짐하며 친절함. ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120621105621.JPG"
"00008568","신화미용실","005","이미용","서울특별시 양천구 지양로16길 36 (신월동)","02-2608-4415","　","09:00~21:00               ","외관은 허름하나 실내는 청결함. 커트, 파마가격은 무척 저렴하고 학생할인이 적용","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710160231.JPG"
"00008023","지앤미미용실","005","이미용","서울특별시 화랑로19길 81 ","02-941-0980","상월곡역 2번 출구에서421m 장위3동주민센터에서 한천로길 직진후 훼미리마트 골목안에 위치","영업시간 : 9시30분~ 21시 휴무일 : 매주일요일     ","　","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120618134717.jpg"
"00008068","겨울나그네","003","경양식/일식","서울특별시 서울 광진구 능동로 147-1","02-498-3650","null","           ","null","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120620163117.JPG"
"00008309","강원도청국장","001","한식","서울특별시 송파구 오금로19길 14 (방이동)","02-423-1714","송파나루역 3번 출구에서198m 백제고분로쪽 방이시장 입구에서 오른쪽으로 두번째 골목에 위치하고 있음 구청앞에서 3414,3216 탑승. 방이 우체국에서 하차 ","매일 11:00 - 20:00 좌석수 :  11개(테이블) 휴무일 : 매주 일요일  기타 : 주차, 배달 ,제로페이           ","친절과 서비스에 단골고객 많음. 정성들인 깔끔한 맛. ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120704131313.JPG"
"00008543","대박집","001","한식","서울특별시 양천구 등촌로 46 (목동)","02-2653-9285","목동역 3번 출구에서 867m","매일 14:00-23:00        ","경기도에서 착한가게 장관상 수상 하였음. 업소 무척 넓고 깨끗함. 가격도 타 업소에 비해 월등히 저렴.","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20150107101343.jpg"
"00008542","조은식당","001","한식","서울특별시 양천구 목동동로 339, 140호 (목동, 목동트윈빌)","02-2655-2527","오목교역 2번 출구에서 881m","영업시간: 10:00~21:00         ","청결하고 친절함. ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120710160149.JPG"
"00008879","대흥이발관","005","이미용","서울특별시 은평구 연서로32길 19 (불광동)","0507-1408-5755","","       ","","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20150317153504.JPG"
"00007971","연백냉면","001","한식","서울특별시 송파구 새말로12길 7 (문정동)","02-409-5054","'전철노선:8호선 장지역 1번출구 버스노선:3011.3219.3417.3422.3319.301.401.402' ","영업시간 : 11:00~ 20:00 휴무일 :매월 2,4주 일요일     ","'육수및 양념장 직접만듦.  면은 고구만전분(함흥냉면가루)을 뜨거운 물로반죽하여 직접뽑음. 함흥냉면 경력20년.' ","4","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120703113545.JPG"
"00008573","씨씨존치킨","004","기타외식업","서울특별시 성동구 무수막길 85 (금호동2가)","02-2235-7792","null","영업시간 : 12:00~24:00 배달 : x   ","평균가격보다 5,000원 정도 싸며 앞으로 가격을 인상하지 않고 저렴하게 판매하여 가격안정에 동참 ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130805111804.jpg"
"00007657","지리산","001","한식","서울특별시 영등포구 여의나루로 67 (여의도동)","02-761-1493","5호선 여의도역 4번출구에서 가까움","영업시간 : 10:00-22:00 좌석수 : 56석 휴무일 : 국경일 및 주일휴무 배달 : 불가 예약 : 가능 카드 :가능 주차 : 가능 홈페이지 주소 : 전자우편주소 : 기타 :주인이 식재료 새벽에 구입 및 주방담당    ","- 매일 매일 신선한 재료 구입과  당일 식단준비 및 국내산 야채로   정성껏 준비  - 친절 등 최선의 서비스 제공","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20121108164752.jpg"
"00008904","진아보석사우나","013","기타서비스업","서울특별시 광진구 자양로15길 109 (자양동)","02-457-3355","null","         ","　","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20150714111215.jpg"
"00008083","돈애우","001","한식","서울특별시 도봉구 도당로 81 (방학동)","02-3491-9279","null","영업시간 : 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 : 기타 :  ","볏집삼겹구이등의 신품목개발로 원재료는 직접 거래 공급받으며, 아르바이트생의 고용과 가족운영으로 인건비를 줄임","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120620141352.jpg"
"00008383","다동분식","001","한식","서울특별시 중구 남대문로9길 16 (다동)","02-755-7414","2호선 을지로입구역 -1번 출구 근처 하나SK카드 빌딩 앞","(2022년 5월 기준) ○ 영업시간 :  06:30 ~ 21:00 (휴무일: ) ○ 좌석수 : 96석 * 단체석 완비 ○ 배달 : 불가 ○ 주차 :  불가 ○ 기타:  예약 가능, 카드 가능 ","가격이 주변업소에 비해 저렴하고 메뉴가 다양하여 인근 직장인들이 자주 이용하는 업소입니다. ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220512110045.jpg"
"00008672","또순이네","001","한식","서울특별시 종로구 사직로 130 (적선동), 적선현대빌딩 지하1층","730-6980","지하철 3호선 경복궁역과 연결되어 있음. ","영업시간 : 7시 ~ 20시 좌석수 : 10개 휴무일 : 일요일, 공휴일 배달 : 불가 예약 : 불가 카드 : 가능 주차 : 불가     ","행정자치부 청사 주변에 위치한 업소로 저렴하고 깨끗하여 직장인들이 이용하기 좋은 업소","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130605155752.jpg"
"00007813","삼삼뚝배기","001","한식","서울특별시 종로구 동숭길 51 (동숭동)","02-765-4683","대학로역 2번출구 마로니에공원 지나서 세익스피어극장 옆.","영업시간 : 오전 06:00 ~ 오후 9:00까지 휴무일 :명절   ","위생적, 친절, 뚝빼기 국물맛","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111102153251.JPG"
"00007823","종묘이용원","005","이미용","서울특별시 서울 종로구 종로 146","","종로3가역 4호선 12번출구로 나온뒤 세운초록띠공원 지나서 승보약국 옆 지하1층","영업시간 :오전 6시~오후7시30분 휴무일 :무          ","소비자단체 추천","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20111107135055.JPG"
"00008626","은지헤어","005","이미용","서울특별시 송파구 동남로6길 11 (문정동)","02-419-5658","전철노선 : 8호선 문정역 1번출구에서 문정1동주민센터방면 도보 7분 버스노선 : 3217,3317,362(문정1동 주민센터정류장 하차)도보 2분               101,320,360,100,116(문정로데오거리입구 정류장 하차)도보 7분","영업시간 : 09:30~20:00 휴무일 : 매주일요일 *제로페이           ","청소년할인 ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20130607093657.JPG"
"00007972","콩나물국밥","001","한식","서울특별시 종로구 자하문로 3 (내자동)","738-8223","금천교시장 입구에 위치","영업시간 : 7:30~20:30 좌석수 : 10개 휴무일 :둘째, 넷째 일요일 배달 :불가 예약 :가능 카드 :가능 주차 :불가     ","테이블 10개를 주인이 혼자 운영하여 저렴한 가격을 유지, 세종마을(서촌)입구에 위치하여 찾기 쉽고 순두부 찌개, 콩나물국밥 맛이 특히 뛰어남.","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120511112828.jpg"
"00008306","방이맛집","001","한식","서울특별시 송파구 오금로11길 63-9 (방이동)","416-5567","방이 중학교 앞 골목  전철노선: 8호선 잠실역. 몽촌토성역 하차 버스노선 : 3413,30-5,3412,3411 올림픽공원 정류장 하차 ","영업시간 : 오전 9::30 ~ 오후 9:30 좌석수 : 12개(테이블) 휴무일 : 매주 일요일 기타 :65세이상 : 500원 가격할인, 주차가능-2대   ","깨끗하고 쾌적한 업소로서 어르신께 저렴한 가격으로 대접하고 있습니다. 친절함에도 만족을 할수 있는 업소입니다. ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120704130717.JPG"
"00008114","새로본미용실","005","이미용","서울특별시 강서구 개화동로27길 33 (방화동)","02-2661-9496","공항시장역 1번 출구에서256m","영업시간 : 09:00~21:00 휴무일 : 1, 3주 일요일&매주 월요일  ","업주 혼자 운영하여 인건비 절감 경로우대(3,000원) 및 청소년할인(4,000원)","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120621111129.JPG"
"00008127","영화반점","002","중식","서울특별시 서대문구 북아현로2길 5 (북아현동)","02-362-0567","아현역 2번 출구에서145m","매일 10:00~21:00       ","신선한 재료를 저렴한 가격으로 직접 구매하여 평균가보다 낮은 금액으로 박리다매 ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20211210144713.jpg"
"00008459","오복냉면","001","한식","서울특별시 강남구 선릉로76길 21 (대치동)","02-501-6288","대치한신휴플러스아파트 우측 대각선 50m 오가빌딩 1층","영업시간 :평일17:00~02:00,주말17:00~24:00 좌석수 :30석 휴무일 :매주 일요일 배달 :불가능 예약 :가능 카드 :가능 주차 :2대 홈페이지 주소 : 전자우편주소 :           ","후하고 넉넉한 인심, 주재료인 쌀을 직접 구매함","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20140430172449.jpg"
"00008575","용짜장","002","중식","서울특별시 성동구 아차산로7길 28 (성수동2가)","02-3409-5679","null","영업시간 : 11:00~22:00 좌석수 : 80석 휴무일 : 연중무휴 배달 : X 카드 : ○ 주차 : X           ","배달을 안하고 저렴한 가격에 홀에서만 판매 저렴하고 친절로 모시며 가격안정에 앞장서 가격을 올리지 않을 계획","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220923175632.jpg"
"00008532","찌개와","001","한식","서울특별시 강남구 광평로 280 (수서동)","02-3413-0709","수서역 4번 출구 로즈데일빌딩 지하 2층","영업시간 :09:00~22:00 좌석수 : 휴무일 : 배달 :불가능 예약 : 카드 : 주차 :가능 홈페이지 주소 : 전자우편주소 :       ","손님이 만족할 수 있게 써비스로 제공","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20170404095837.jpg"
"00008044","제이필헤어","005","이미용","서울특별시 광진구 자양로 183 (구의동)","02-3437-4063","null","  ","null","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120620163600.JPG"
"00008055","먹고갈래지고갈래","001","한식","서울특별시 종로구 수표로 117 (낙원동)","02-3673-1239","종로3가역 5호선 5번 출구로 나와서 먹고갈래지고갈래까지 약 236m 걷기 ","영업시간 : 11시 ~24시         ","낙원동 일대 어르신들 쉼터로 유명한 곳임. 커피 부터 식사까지 다양한 메뉴를 싼 가격에 제공함. ","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120619140356.jpg"
"00008507","우리생고기","001","한식","서울특별시 강남구 개포로82길 13-17 2층 2호(개포2동)","0507-1377-7740","개포동역 6번 출구에서248m","영업시간 :9:00~23:00                 ","저렴한 가격을 유지하여10 단골손님을 유지하고 있음","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20231127121939.jpg"
"00008446","시골청국장","001","한식","서울특별시 강남구 학동로 504 (삼성동), 서울빌딩 101호","02-548-0171","청담역 6번 출구에서 경기고 방면으로 도보1분","영업시간 :11:00~21:00           ","메뉴가 다양하고 가격이 저렴하다","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20170404100655.jpg"
"00008524","다복콩비지","001","한식","서울특별시 강남구 개포로22길 31 (개포동)","02-573-2057","국악고에서 크린토피아 방향으로 150m 3분거리","영업시간 : 11:30~21:30 휴무일 : 일요일  ","매일 신선한 오리를 공급받고 있으며, 호텔조리장으로 11년 근무하신 사장님이 직접 운영하는 곳이다.","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20140428131740.jpg"
"00008104","대승식당","001","한식","서울특별시 강서구 강서로74길 40 (가양동)","02-2658-5646","호서예술전문학교 근처","영업시간 : 09:00~20:00 좌석수 : 48개 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 불가 홈페이지 주소 : 없음 전자우편주소 : 없음   ","성인, 청소년 식사 시 공기밥 추가 제공으로 오래된 단골 손님이 많음","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120621104236.JPG"
"00008378","코너집","001","한식","서울특별시 중구 퇴계로 336, 101호 (광희동1가)","02-2279-6266","동대문역사문화공원역 4번 출구 건너편 (이비스버젯앰버서더동대문 호텔 근처)","(2022년 12월 기준) ○ 영업시간 : 07:00~22:00 (휴무일: 없음) ○ 좌석수 : 100석  * 지하1층에 단체석 완비(70석) ○ 중구사랑상품권 : 불가능 ○ 기타: 예약 가능, 카드 가능            ","35년 이상된 음식점으로  인심 좋으신 주인 아주머니가 저렴한 가격으로  찌개부터 국밥, 돈가스, 닭도리탕, 홍어요리까지 다양하고 맛있는 음식을 제공합니다.  단골손님이 많은 곳이에요~","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20220511170240.jpg"
"00008039","모범이발","005","이미용","서울특별시 광진구 면목로11길 5 (중곡동)","499-4897","김이비인후과 뒷 건물","영업시간 : 08:00 ~ 20:30 좌석수 : 휴무일 : 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :  ","본인 운영으로 인건비 최소화","3","24-10","http://sftc.seoul.go.kr/mulga/inc/img_view.jsp?filename=20120620161522.JPG"
